"","popularity","dcluster","ent","r_ent","cluster1","cluster2","cluster3","timeWwa","income","lifestd","sportint","football","age","civic","resmob","soccont","attgen","attgiven","attdiscovered","attnoatt","tvinfo","tvlowbrow","tvhighbrow","tvpop","tvcons","moviesepic","movieshigh","movieslight","bookshigh","bookslow","booksknow","booksfant","pressgen","pressknow","presscons","presslib","pressspec","musichigh","musicmodern","musicrock","musicafro","cultcap","lifestab","wealth","can1","can2"
"fresh",1,"Kulturalnie_wycofani",0,0,NA,NA,1,4,1,3,2,1,22,1,20,14,32,1.5,4,3,-2.17988035380104,-1.39571505372285,-2.12608936243966,-2.06021455028167,-0.212071062606245,-0.487676995525267,-0.716155261363051,-2.02504114418112,0.391454421156412,-1.26417556124916,0.336015650463233,-0.80700034180713,-1.78270578256179,0.126022183682103,-1.71240191836986,-2.24433471837316,0.397346787946671,-0.727320990213453,0.331661575448837,-1.13465600722787,-1.88073528525851,-0.406365046799018,-0.488739308663507,-0.514952463188483,1.62248775185107,-2.32430317592301
"odessa",1,"Kulturalnie_wycofani",0,0,NA,NA,1,4,1,3,2,1,22,1,20,14,32,1.5,4,3,-2.17988035380104,-1.39571505372285,-2.12608936243966,-2.06021455028167,-0.212071062606245,-0.487676995525267,-0.716155261363051,-2.02504114418112,0.391454421156412,-1.26417556124916,0.336015650463233,-0.80700034180713,-1.78270578256179,0.126022183682103,-1.71240191836986,-2.24433471837316,0.397346787946671,-0.727320990213453,0.331661575448837,-1.13465600722787,-1.88073528525851,-0.406365046799018,-0.488739308663507,-0.514952463188483,1.62248775185107,-2.32430317592301
"multikino_ursynów",4,"Kulturalnie_wycofani",1.5,0.946394630357186,0.25,0.25,0.5,5,0.75,3.25,3,2.25,22.5,1.75,32.5,16,30,1.5,3.04166666666667,2.95833333333333,-0.0192333382720118,-1.02682803726506,-0.552548944764501,-0.274041149039893,-0.667792333438554,-0.673551006689003,0.0180911648808387,-1.06522385453605,-0.339973238968077,-0.263204094061719,-0.344951599242361,0.430071475561619,-0.738979770352931,0.168273328944096,-0.707553231334361,-0.849550787328325,0.26548549090595,-0.297531327428714,-0.359563704148714,0.138530572928032,0.0425713323732795,-0.351213748240709,-0.375232529377983,-0.307222796270488,1.19744319505366,-0.920023068550095
"kino_femina",1,"Kulturalnie_wycofani",0,0,NA,NA,1,4,1,3,2,1,22,1,20,14,32,1.5,4,3,-2.17988035380104,-1.39571505372285,-2.12608936243966,-2.06021455028167,-0.212071062606245,-0.487676995525267,-0.716155261363051,-2.02504114418112,0.391454421156412,-1.26417556124916,0.336015650463233,-0.80700034180713,-1.78270578256179,0.126022183682103,-1.71240191836986,-2.24433471837316,0.397346787946671,-0.727320990213453,0.331661575448837,-1.13465600722787,-1.88073528525851,-0.406365046799018,-0.488739308663507,-0.514952463188483,1.62248775185107,-2.32430317592301
"egurrola_dance_studio",1,"Kulturalnie_wycofani",0,0,NA,NA,1,4,1,3,2,1,22,1,20,14,32,1.5,4,3,-2.17988035380104,-1.39571505372285,-2.12608936243966,-2.06021455028167,-0.212071062606245,-0.487676995525267,-0.716155261363051,-2.02504114418112,0.391454421156412,-1.26417556124916,0.336015650463233,-0.80700034180713,-1.78270578256179,0.126022183682103,-1.71240191836986,-2.24433471837316,0.397346787946671,-0.727320990213453,0.331661575448837,-1.13465600722787,-1.88073528525851,-0.406365046799018,-0.488739308663507,-0.514952463188483,1.62248775185107,-2.32430317592301
"tor_służewiec",1,"Kulturalnie_wycofani",0,0,NA,NA,1,4,1,3,2,1,22,1,20,14,32,1.5,4,3,-2.17988035380104,-1.39571505372285,-2.12608936243966,-2.06021455028167,-0.212071062606245,-0.487676995525267,-0.716155261363051,-2.02504114418112,0.391454421156412,-1.26417556124916,0.336015650463233,-0.80700034180713,-1.78270578256179,0.126022183682103,-1.71240191836986,-2.24433471837316,0.397346787946671,-0.727320990213453,0.331661575448837,-1.13465600722787,-1.88073528525851,-0.406365046799018,-0.488739308663507,-0.514952463188483,1.62248775185107,-2.32430317592301
"club_garaż",2,"Kulturalnie_wycofani",1,1,NA,0.5,0.5,17.5,0,4.5,4,4,24,7,16,4,24.5,1,2.16666666666667,2.33333333333333,0.178911937708235,0.928031387720923,0.693104304739989,-1.219231565864,1.03587537522397,1.85805348844856,0.852474939507406,0.636283417615099,1.27779015052416,0.249764757612037,1.72508248645715,1.41715880556854,0.611124414496995,-0.273081764751421,-0.388412654769903,-0.486913925321408,-1.30420640917542,1.62306856233267,1.84227506012692,2.00050624586342,1.68437782378334,0.545074002253605,-0.411185059031816,0.299891196417721,-3.15074958302015,0.0055534335525782
"fort_bema",4,"Wolne_Zawody",0.811278124459133,0.811278124459133,NA,0.75,0.25,23,1.75,2.75,4.25,3.75,26.25,4.25,27.25,18.75,40.25,2.375,3.91666666666667,2.41666666666667,-0.169595797843725,-0.232465815554123,0.713788963196615,-0.711737395326513,0.28846351636214,-0.0306960212058769,-0.182944071937816,0.508610275805542,0.0428253348338717,0.00906453951962037,1.23761564528944,-0.0664415142659418,-0.634826260722523,1.03358827908816,-0.515076276812555,-0.825424752840307,-0.0596615250915878,0.263704424984629,-0.0323188591965194,0.203906130673054,-0.119058770965553,-0.0294988574929267,0.0426825143973323,-0.165896357713644,-0.832904975871537,-0.754455044323865
"plac_konstytucji",1,"Kulturalnie_wycofani",0,0,NA,NA,1,22,1,5,3,1,22,2,40,23,38,1.5,3.33333333333333,2,-0.385031596422343,0.373531848403311,0.175306993781106,0.464368621015254,0.473674418484074,-0.109791512819333,-0.80163798996949,1.15709942092874,1.20714177157982,-0.831348946406275,0.146378547495934,0.930343512743685,0.136665273315167,-0.814329948102475,2.05235587370083,-1.52030250048069,-2.91412914608685,-1.99965773720402,0.222855244032304,0.254164260003013,-0.995608174571185,-0.0326717344915063,-0.56796919277314,0.495157274024513,2.3893045177461,-0.68834468377939
"pies_czy_suka",1,"Kulturalnie_wycofani",0,0,NA,NA,1,22,1,5,3,1,22,2,40,23,38,1.5,3.33333333333333,2,-0.385031596422343,0.373531848403311,0.175306993781106,0.464368621015254,0.473674418484074,-0.109791512819333,-0.80163798996949,1.15709942092874,1.20714177157982,-0.831348946406275,0.146378547495934,0.930343512743685,0.136665273315167,-0.814329948102475,2.05235587370083,-1.52030250048069,-2.91412914608685,-1.99965773720402,0.222855244032304,0.254164260003013,-0.995608174571185,-0.0326717344915063,-0.56796919277314,0.495157274024513,2.3893045177461,-0.68834468377939
"las_na_wawrze",1,"Kulturalnie_wycofani",0,0,NA,NA,1,19,0,4,1,1,24,1,31,19,40,5,3.83333333333333,1.83333333333333,-0.926870504621442,-0.248196338292574,-1.55936112618539,-0.279022014616578,0.23443528047568,0.317125411648953,-1.67295245527012,-0.748112451495166,0.281336876892764,-2.04383635644613,-0.740406102443468,-0.0883961448041121,-0.422933824597576,0.434650524724521,0.267007791957331,0.847717944446518,-0.626331508886865,-0.197324560424007,0.937049281987471,-0.41424000591079,-1.81578536832497,-0.116104332958063,-0.620190978455964,0.125405057515734,0.731933455641212,-2.2302580824636
"dwóch_takich",2,"Kulturalnie_wycofani",1,1,NA,0.5,0.5,21,1,3.5,2.5,2,23.5,2,28.5,16,37.5,3.25,4,2.83333333333333,-0.393841814609519,-0.0348421371006844,-1.40993489444022,-0.603145110094888,0.288388425089748,0.0977243688107206,-1.28214356444338,0.133219040780814,-0.0374758959152618,-1.11957687347999,-0.283110796585882,0.267477714300846,-0.212074320820227,-0.220793577641087,0.210848651389795,-0.263103836040301,-0.22568642276909,0.0384891644174916,1.06834078141834,-0.0212787088399809,-0.947666763633169,0.151240790122576,-0.174113075612462,-0.375767968575514,-0.404101159444303,-1.88318298576627
"klubokawiarnia_towarzyska",1,"Kulturalnie_wycofani",0,0,NA,NA,1,19,0,4,1,1,24,1,31,19,40,5,3.83333333333333,1.83333333333333,-0.926870504621442,-0.248196338292574,-1.55936112618539,-0.279022014616578,0.23443528047568,0.317125411648953,-1.67295245527012,-0.748112451495166,0.281336876892764,-2.04383635644613,-0.740406102443468,-0.0883961448041121,-0.422933824597576,0.434650524724521,0.267007791957331,0.847717944446518,-0.626331508886865,-0.197324560424007,0.937049281987471,-0.41424000591079,-1.81578536832497,-0.116104332958063,-0.620190978455964,0.125405057515734,0.731933455641212,-2.2302580824636
"green_pub",1,"Kulturalnie_wycofani",0,0,NA,NA,1,22,1,4,1,1,21,2,35,19,44,3,4.33333333333333,3,-0.531233549613962,-1.17953829440543,0.562644347671972,-0.582039122139075,-0.97559797601984,0.305682612439992,-0.34292678293747,-0.113035956541913,1.04816174710693,-1.59280854337432,0.423192303089549,-0.669621424742636,0.532321388456802,1.00862936479251,0.236482789606208,0.340960912541726,-2.7150155104335,0.237805942550887,-1.69650421106932,-0.115320314335224,0.0639252627478815,-0.0361541286814164,-0.436653088618602,0.185764906681659,1.18806857271397,-1.26459772716626
"park_górczewska_",1,"Kulturalnie_wycofani",0,0,NA,NA,1,22,1,4,1,1,21,2,35,19,44,3,4.33333333333333,3,-0.531233549613962,-1.17953829440543,0.562644347671972,-0.582039122139075,-0.97559797601984,0.305682612439992,-0.34292678293747,-0.113035956541913,1.04816174710693,-1.59280854337432,0.423192303089549,-0.669621424742636,0.532321388456802,1.00862936479251,0.236482789606208,0.340960912541726,-2.7150155104335,0.237805942550887,-1.69650421106932,-0.115320314335224,0.0639252627478815,-0.0361541286814164,-0.436653088618602,0.185764906681659,1.18806857271397,-1.26459772716626
"wars_i_sawa",2,"Kulturalnie_wycofani",1,1,NA,0.5,0.5,14,1,3.5,1,1,22.5,1,34.5,15.5,39.5,2.25,3.75,3.41666666666667,-0.0485542165194528,-0.533454123882862,0.229208997874946,0.0522995217401946,-0.564927088843588,0.0932472105374254,-0.234254158304643,-0.128992997956301,0.32795972347466,-0.624422405406084,0.811523326095337,-0.80784526397606,0.563981736560594,0.386634176098988,0.0102692935850835,0.273391767112969,-1.35611929245061,-0.103936485157361,-1.24320177506094,0.103872511039135,0.182011801876107,-0.392158138756223,-0.330427323105377,0.222177714064335,1.50517267205222,-0.194607327236797
"my_o_my",1,"Kulturalnie_wycofani",0,0,NA,NA,1,22,1,4,1,1,21,2,35,19,44,3,4.33333333333333,3,-0.531233549613962,-1.17953829440543,0.562644347671972,-0.582039122139075,-0.97559797601984,0.305682612439992,-0.34292678293747,-0.113035956541913,1.04816174710693,-1.59280854337432,0.423192303089549,-0.669621424742636,0.532321388456802,1.00862936479251,0.236482789606208,0.340960912541726,-2.7150155104335,0.237805942550887,-1.69650421106932,-0.115320314335224,0.0639252627478815,-0.0361541286814164,-0.436653088618602,0.185764906681659,1.18806857271397,-1.26459772716626
"fonte",1,"Kulturalnie_wycofani",0,0,NA,NA,1,22,1,4,1,1,21,2,35,19,44,3,4.33333333333333,3,-0.531233549613962,-1.17953829440543,0.562644347671972,-0.582039122139075,-0.97559797601984,0.305682612439992,-0.34292678293747,-0.113035956541913,1.04816174710693,-1.59280854337432,0.423192303089549,-0.669621424742636,0.532321388456802,1.00862936479251,0.236482789606208,0.340960912541726,-2.7150155104335,0.237805942550887,-1.69650421106932,-0.115320314335224,0.0639252627478815,-0.0361541286814164,-0.436653088618602,0.185764906681659,1.18806857271397,-1.26459772716626
"cafe_szpulka",2,"Studenci",1,1,NA,0.5,0.5,22.5,0,3,3,2,22.5,1.5,30,12,40,2.5,3.58333333333333,1.58333333333333,-0.32109852804465,0.673166102310838,1.09742365701889,0.607300581743342,0.216633752996877,0.705418281316904,0.183469292866994,-0.374697161832818,0.77138680009776,0.198207491136201,-0.20056663736417,-0.495710814972716,0.627044871481157,0.687761041494371,-0.281140110954985,0.611742259535071,0.441623571263455,0.109220896542369,-0.36302677175098,0.0816023251039882,-0.79997310169948,-0.0244596495109378,-0.663275111311468,0.368688626649856,-0.0660314085458918,1.12508422516556
"klub_stodoła",5,"Wolne_Zawody",1.37095059445467,0.864973520717927,0.6,0.2,0.2,12,0.8,3.8,2.8,1.2,22.2,2.8,36,19.2,34.6,1.9,3.53333333333333,3.26666666666667,-0.235209090245868,0.126771798252262,0.433964391873788,-0.376991355997441,0.10672069416986,0.508478708212675,-0.226443115195689,-0.254072635586844,0.41745141857315,-0.206872783044523,0.810810420534147,0.0446566684457493,0.295283167686125,0.496726532516278,0.0437528589891778,-0.243619278965165,0.240409983211847,0.889217133912031,0.158069316605538,0.574994567564359,-0.0957679640853931,-0.00865370810639409,-0.227378425102361,-0.0700762547862988,-0.708457350914518,-0.433991507618013
"costa_krk_przedmieście",2,"Studenci",1,1,NA,0.5,0.5,21,0,3,1.5,1.5,21,1.5,31,13.5,41,3.5,4.41666666666667,1.58333333333333,0.229594545622364,0.560301858455273,0.460521439576125,0.00901841518412611,-0.0242745802221961,0.519629349900993,-0.0948351106174544,-0.32900454080599,0.323120771075921,0.491268627434153,0.985324735135589,-0.401703350180598,0.57021321190303,0.306200426887072,0.119476992974146,0.168069901716404,-0.68051215597951,0.540585534007125,0.1900045051993,0.45016253138499,-0.553309635891465,0.14172774431728,-0.495578455555306,-0.00394303676781538,-0.108411456134629,0.324494998625499
